#CALMSEA List – comparing Gam Win and Lakhum Mossang
#Nouns
!CALMSEA	Phonemic (following Gam Win)	Muishvung (Gam Win’s system)	Muishvung PUA (Lakhum Mossang)	Name of Unicode characters ( without final -a)	Notes
belly (exterior)	βuk	wuk		w uz k	
thin 	əre²	vrex		vz r ex	
old	əke¹	vkez		vz k ez	
alive	ət̪ərəuŋ²	vthvrvungx		vz th short.uez r az uz ng	
ill	ət̪ɯu¹	vthuiuz		vz th uiuz	
fat	əpɯ¹	vpuiz		vz p uiz	
itchy	ətsɯk	vtsuik		vz ts uiq k	
new	əɲal²	vnyalx		vz ny ax l	
full	mər²	mvrx		m vx r	
full.NOMZ	əmər²	vmvrx		vz m vx r	
long	əlu¹	vluz		vz l uz	
big	əjuŋ²	vyungx		vz y ux -ng	
small	ərɯn²	vruinx		vz r uix n	
good	əhəl²	vhvlx		vz h vx l	
bad	əba³	vbac		vz  b ac	
short	ətut	vtut		vz t uz t	
sweet	ərɯm²	vruimx		vz r uix m	
bitter	əkʰɯp	vkhuip		vz kh uiz p	
sour	əhi²	vhix		vz h ix	
cold (weather)	rəuŋ² suŋ³	rvungxsungc	𖪲𖩻𖪇𖪐𖪤𖪅𖪐	r vx ux -ng s uc -ng
cold	əkɯiʔ	vkuiyq		vz k uiz iq	
hot	əkal²	vkalx		vz k ax l	
hot (weather)	rəuŋ² lɯm³	rvungx luimc	 	r vx ux -ng l uic m	
ripe	əmɯn²	vmuinx		vz m uix n	
soft (to touch)	əɲen¹	vnyenz		vz ny ez n	
hard	ətsan¹	vtsanz		vz ts az n	
white	əlɯ¹	vluiz		vz l uiz	
black	əɲəuk	vnyvuk		vz ny vz uz k	
red	əʃɔ²	vshawx		vz sh awx	
green	əβɯl¹	vwuilz		vz w uiz l	
thick	ətʰəi¹	vhtvyz		vz ht vz iz	
sharp	ət̪ʰɯi²	vhttuiyx		v htt uix ix	
heavy	əliʔ	vliq		v l iq	
lightweight	əʨɔ¹	vjawz		v j awz	
eat (rice)	saʔ	saq		s aq	
eat (rice).NOMZ	əsəi¹	vsvyz		vz s vz iz	
eat (dishes)	pʰəuk	phvuk		ph vz uz k	
eat (dishes).NOMZ	əpʰɯu¹	vphuiuz		vz ph uiuz	
drink	nɯŋ²	nuingx		n uix -ng	
drink.NOMZ	ənɯŋ³	vnuingc		vz n uic -ng	
give	kuʔ	kuq		k uq	
give.NOMZ	əkui¹	vkuyz		vz k uz iz	
tie	kʰər³	khvrc		kh vc r	
tie.NOMZ	əkʰər³	vkhvrc		vz kh vc r	
steal	ɣɯuʔ 	ghuiuq		gh uiuq	sometimes with gh-
steal.NOMZ	əɣɯuʔ	vghuiuq		vz gh uiuq	
lick	pʰet	phet		ph ez t	fast licking
lick.NOMZ	əpʰet	vphet		vz ph ez t	
lick	mel¹	melz		m ez l	long slow licking
lick.NOMZ	əmel¹	vmelz		vz m ez l	
bite	kauk	kauk		k az uz k	
bite.NOMZ	əkɯu¹	vkuiuz		vz k uiuz	
squeeze	ɲet	nyet		ny ez t	
squeeze.NOMZ	əɲet	vnyet		vz ny ez t	
cook	ʃuŋ³ lum³	shungc lumc	 	sh ux -ng l uc m	
cook rice	jəuŋ³	yvungc		y vc uc -ng	
cook dishes	lum³	lumc		l uc m	
dishes	əlum³	vlumc		vz l uc m	
roast	ʃu¹	shuz		sh uz	
roast.NOMZ	əʃoi¹	vshoayz		vz sh oz iz	
roast	ɣəuŋ³	ghvungc		gh vc uc -ng	
roast.NOMZ	əɣəuŋ³	vghvungc		vz gh vc uc -ng	
grind	nut	nut		n uz t	‘rub soap onto clothes before washing’
grind.NOMZ	ənut	vnut		n uz t	
wash	hoəl¹	hovlz		h oz vz l	
wash.NOMZ	əhoəl³	vhovlc		vz h oc vc l	
dig	tʰu¹	htuz		ht uz	
dig.NOMZ	ətʰoi¹	vhtoayz		vz ht oz iz	
release	duŋ¹	dungz		d uz -ng	
release.NOMZ 	əduŋ³	vdungc		vz d uc -ng	
extinguish	təmut	tvmut		t short.uez m uz t	
blow	gɯl¹	guilz		g uiz l	
pull.out.NOMZ	əmoi¹	vmoayz		vz m oz iz	
blow.NOMZ	əmui¹	vmuyz		vz m uz iz	
blow	mui¹	muyz		m uz iz	
buy	rɯi²	ruiyx		r uix ix	
thread	rɯi²	ruiyz		r uiz iz	
cane	rɯi¹	ruiyx		r uix ix	
cane	het	het		h ez t	
buy.NOMZ	əre¹	vrez		vz r ez	
type of pin	mi¹ kʰi³	miz khic	 	miz khic	
kill	t̪ət	thvt		th vz t	
kill.NOMZ	ət̪əi¹	vthvyz		vz th vz iz	
weave	kʰəi¹ tɯu¹	khvyz tuiuz	 	kh vz iz t uiuz	
weave.NOMZ	ətɯu¹	vtuiuz		vz t uiuz	
rub	t̪ʰut	httut		htt uz t	
rub.NOMZ	ət̪ʰut	vhttut		vz htt uz t	
squeeze	ɲet	nyet		ny ez t	
squeeze.NOMZ	əɲet	vnyet		vz ny ez t	
shoot	ɣap	ghap		gh az p	
shoot.NOMZ	əɣap	vghap		vz gh az p	
kick	hɯp	huip		h uiz p	
kick.NOMZ	əhɯp	vhuip		vz h uiz p	
sell	ʃəuŋ¹	shvungz		sh vz uz -ng	
sell.NOMZ	əʃəuŋ³	vshvungc		vz sh vc uc -ng	
put	taʔ	taq		t aq	
put.NOMZ	ətəi¹	vtvyz		vz t vz iz	
hunt	ŋəm² ləm³	ngvmx lvmc	 	ng vx m l vc m	
burn	kʰam³	khamc		kh ac m	
burn.NOMZ	əkʰam³	vkhamc		vz kh ac m	
cut	soəl³	sovlc		s oc vc l	
cut.NOMZ	əsoəl³	vsovlc		vz s oc vc l	
cut	ʨum¹	jumz		j uz m	
cut.NOMZ	əʨum³	vjumc		vz j uc m	
boil	boəm²	bovmx		b ox vx m	‘bubbling’
boil.NOMZ	əboəm²	vbovmx		vz b ox vx m	
hold	ʃɯm²	shuimx		sh uix m	
hold.NOMZ	əʃɯm³	vshuimc		vz sh uic m	
roll	kɯ²	kuix		k uix	
roll.NOMZ	əkɯ³	vkuic		vz k uic
